,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
y_sim[22],-2.5561345644872353,0.09745058935527555,3.0774579362315087,-8.904555102021531,-4.55652145753356,-2.407578775875214,-0.3951764952782396,3.068860627728781,997.2758704052129,0.9997579091014099
y_sim[23],-2.0662663525821787,0.08961223344338767,2.914621413719336,-7.536143026991141,-4.103763965581695,-2.154479210657438,-0.042937992931906664,3.7543678426233162,1057.863662820006,0.9996007551909726
y_sim[24],-4.072203134145316,0.08228320895709229,3.0596764402127543,-9.945698421055404,-6.132205426555476,-4.130054998590428,-2.0158025313339016,2.1291157774247464,1382.7019141857731,0.9985107133802735
y_sim[25],-4.962055419844166,0.08862225928329719,3.094568549065071,-11.317622602069736,-7.010664212410028,-4.9632838819821,-2.8429541815439006,1.103719005409058,1219.3112470003343,1.0001445753382001
y_sim[26],-3.7748197614634162,0.08999776414631838,3.0945698509478907,-9.645320866026715,-5.8715663658213515,-3.8326648365502605,-1.7058291643133079,2.082630886716002,1182.3257268894367,1.0001822014269086
y_sim[27],-4.161100899608216,0.09707487958184025,3.064476251005049,-10.030164193552235,-6.277986127564889,-4.155938306014807,-2.088821659248489,2.1080180798023997,996.5493243927492,1.0002427956044768
y_sim[28],-2.2141344387957815,0.08563478209942807,2.9662676710846676,-7.877449523097431,-4.223781198205258,-2.2240867438722667,-0.10424380642964085,3.6374190337201844,1199.831564635461,0.9998819275350022
y_sim[29],0.8034941312887909,0.09161096018919639,3.0622504145440983,-5.070195922666736,-1.2197476194016175,0.7150049061603295,2.84921361993733,6.7345557968764105,1117.343055361096,0.9985478340067786
y_sim[30],0.03859622306816886,0.09361215492939537,3.0685110037998435,-6.141215905280096,-1.9537760114672018,-0.019735192002500457,2.073311720770877,6.115304937285545,1074.4615645846131,0.9984561400121701
y_sim[31],0.680843347861998,0.09224642999868513,3.148500110190346,-5.562323307991075,-1.4864799464237393,0.6969908534801323,2.848104744895415,6.854024041408113,1164.9526948680789,1.0014790673815064
y_sim[32],-0.13009937374084804,0.10817966220831153,2.9762106015268377,-6.025668632928244,-2.047151145776643,-0.10932781153887286,1.8229201050053698,5.748990482406167,756.8957674147962,0.999516104903401
y_sim[33],0.5729889596404512,0.10773056789775504,3.0688044868654103,-5.041534209715058,-1.469787939120299,0.41782721516877885,2.6155936531499293,6.518332513891867,811.447716606935,1.0020278054222187
y_sim[34],0.3123346639391609,0.09526894304582988,3.0136699089806136,-5.569032960182415,-1.8629550622798123,0.3056062042592486,2.3419902734801914,6.130779978588039,1000.6649071383911,0.9994906951887583
y_sim[35],0.6743090379079746,0.0819664050488411,2.9787450329189427,-5.113953597502784,-1.3684029744642736,0.6726510408160535,2.626205789694618,6.895070319013755,1320.6717454876186,0.9984284240059792
y_sim[36],-0.24081813074002748,0.08866567823202055,2.9918988606495702,-5.860578469054083,-2.099687626893218,-0.19970520583519247,1.6439746722285715,5.619224401693859,1138.630297896491,0.9984232214977825
y_sim[37],0.05403278836852183,0.08266537830327288,2.8667022636875665,-5.5079626945463485,-1.8309223509325276,-0.06521752438517436,1.9506236084904631,5.796735358085865,1202.5907626838075,0.9992237639060463
y_sim[38],0.3486321628904246,0.0932984566611266,2.996452917270372,-5.6087562712490655,-1.5371059378294574,0.29648043995582185,2.360630175451277,6.4830944102126065,1031.4923151669263,1.00311158829868
y_sim[39],-1.5031092256849337,0.09239264149296793,3.1027820973938067,-7.666216111023337,-3.6049846123416254,-1.4589314205340378,0.64041000344188,4.6452608850866834,1127.7888238648522,0.9993848894713503
y_sim[40],0.3715916216761974,0.09534903179467873,2.9148851594231844,-5.458645754921894,-1.535072972000326,0.40368813887637245,2.420099767627442,5.863625738660454,934.5667450579211,0.9984763936516666
y_sim[41],0.6149068745545325,0.08517192559170826,2.9736138931206533,-5.243872369564144,-1.4020665823258018,0.6460291406319184,2.5755163404817765,6.283740416527582,1218.92286091915,0.998726335429102
y_sim[42],2.22762286542303,0.08943325914445135,2.9482495943829976,-3.3791999196326348,0.275124709480792,2.2450963109122686,4.204605470446588,8.42294402018625,1086.7518284313671,0.9987184800361539
y_sim[43],3.4156100048090554,0.10061101351317762,2.9982195289111324,-2.6916144866568823,1.4266845704714082,3.408601617710035,5.274767869825058,9.744977323068719,888.0467094433347,0.9994561933587695
y_sim[44],3.3492499476424245,0.1199188381068914,3.0500826530593357,-2.877962458031857,1.310305402052156,3.380863792099733,5.4556011182618835,9.353689562128702,646.9167448706,1.0009468639751038
y_sim[45],3.0206014705036304,0.08877604212779713,3.0181348092301747,-3.101570430963614,1.0870812496054705,3.1472167495892096,5.0834356811921895,8.902188100513825,1155.8080375755214,0.9985424777429147
y_sim[46],1.7376782055981719,0.09286845989241528,3.0245487729350082,-3.9640569030912336,-0.22624716806137357,1.7329213963224581,3.651062099381426,8.19162400443345,1060.6807759167052,1.0019259236125655
y_sim[47],0.43991486801012186,0.09318546773757325,2.9421872184249045,-5.302429922870752,-1.417794374065371,0.5384284319639491,2.2442950282541494,6.172368113164877,996.8830919163473,1.0009284881213028
y_sim[48],-0.33154485094291464,0.092854843282221,3.1308569627419365,-6.52179884189351,-2.4846015863939455,-0.3408292685229557,1.7658176719113003,5.820909181098317,1136.88707950439,1.0002398206077618
y_sim[49],1.0213952708520027,0.09223737574225636,2.97711941190348,-4.685267163137043,-1.0980036184361783,1.0942275077194945,3.0771351330303864,6.619258276314758,1041.786277107824,0.998721520870098
y_sim[50],0.11156261930927715,0.09280044297797252,3.010369662812204,-5.8191863064686915,-1.8983572004700264,0.016935717274406903,2.1466355651656723,5.866622405449244,1052.299971891043,0.9987148561152345
y_sim[51],-1.5472214701579223,0.08442986749900919,3.0259378847818232,-7.709950284146591,-3.581517800388162,-1.537073804104782,0.5036064157476972,4.099464584810444,1284.4813475795604,0.9997248788981808
y_sim[52],-1.0686399584730069,0.09338855222937865,2.986744878818507,-6.749603692620579,-3.18869041807848,-1.0083247775954896,0.8430112870951636,4.932999663506591,1022.8429825764239,1.0043803225864825
y_sim[53],-0.3358142233836076,0.08271565662750444,2.9615684625030894,-6.011393816904951,-2.301650806224168,-0.4486273628465327,1.6154088768717845,5.5570175183618105,1281.9412133350677,0.9991579808149337
y_sim[54],0.9387285156385837,0.08616236042859218,3.0183046983228823,-5.121096913098374,-1.0393119158172621,0.9879857423745428,2.972892019424204,7.121600491147863,1227.1311582758888,0.9992119623195651
y_sim[55],0.1186973891678625,0.09037254060753958,2.9748867762779283,-5.7411853637871335,-1.9546164297232067,0.07019661699038104,2.2342130066138783,5.978195760402519,1083.5972624874128,1.0024500283059705
y_sim[56],-1.3206659632690592,0.0875756018888359,2.972435941019574,-7.5021431284502444,-3.349943337098288,-1.3531962490557872,0.6888853592248951,4.562365148187741,1152.0166240933372,0.998115025680178
y_sim[57],-3.2555496816596943,0.09310930978078617,3.0247474215545163,-9.173454584254248,-5.250427142260165,-3.328929758859924,-1.2865549803409806,2.649646994087532,1055.3390683609769,0.9998496543308372
y_sim[58],-3.48953242891119,0.08922049095242919,3.0502393119335434,-9.233188852459618,-5.552502948697619,-3.501874286371393,-1.4930100138169273,2.772616178296383,1168.7957147943455,0.9993218397770437
y_sim[59],-3.8232256514958767,0.08983320568489332,3.104564215916674,-9.7920287661739,-5.943071336751187,-3.9103894975754265,-1.7066298765622832,2.39247301923585,1194.3386847363545,1.0031958398534446
